# WARNING: this file is not sorted!
# db	motif                         	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   3	MA0121.1 ARR10                	1.7e0000	   3.4e-003	          -5.67	         0.0	      139	        493	         248	        699	  0.28195	1.4e-005	       246
   3	MA0130.1 ZNF354C              	1.8e0000	   3.7e-003	          -5.59	         0.0	      187	        495	         358	        793	  0.37778	1.5e-005	       247
   3	MA0140.1 Tal1::Gata1          	1.2e-046	   2.4e-049	        -111.94	         0.0	      177	        483	         447	        686	  0.36646	1.0e-051	       241
   3	MA0145.1 Tcfcp2l1             	3.0e0000	   6.2e-003	          -5.09	         0.0	      105	        487	         180	        630	  0.21561	2.5e-005	       243
   3	MA0199.1 Optix                	2.4e-011	   4.9e-014	         -30.65	         0.0	      166	        496	         260	        509	  0.33468	2.0e-016	       247
   3	MA0204.1 Six4                 	1.7e-002	   3.5e-005	         -10.25	         0.0	      147	        495	         262	        670	  0.29697	1.4e-007	       247
   3	MA0207.1 achi                 	7.1e0000	   1.5e-002	          -4.22	         0.0	      151	        495	         204	        531	  0.30505	6.0e-005	       247
   3	MA0227.1 hth                  	2.3e0000	   4.7e-003	          -5.37	         0.0	      117	        495	         133	        406	  0.23636	1.9e-005	       247
   3	MA0259.1 HIF1A::ARNT          	2.0e0000	   4.0e-003	          -5.51	         0.0	      113	        493	         126	        393	  0.22921	1.6e-005	       246
   3	MA0270.1 AFT2                 	5.4e-032	   1.1e-034	         -78.17	         0.0	      129	        493	         253	        470	  0.26166	4.6e-037	       246
   3	MA0289.1 DAL80                	2.4e-033	   5.0e-036	         -81.29	         0.0	      138	        494	         311	        581	  0.27935	2.0e-038	       246
   3	MA0298.1 FZF1                 	2.4e-002	   4.9e-005	          -9.93	         0.0	      187	        495	         389	        837	  0.37778	2.0e-007	       247
   3	MA0300.1 GAT1                 	1.0e-035	   2.2e-038	         -86.73	         0.0	      185	        493	         351	        530	  0.37525	8.8e-041	       246
   3	MA0307.1 GLN3                 	1.5e-029	   3.1e-032	         -72.56	         0.0	      186	        496	         474	        805	  0.37500	1.2e-034	       247
   3	MA0309.1 GZF3                 	1.1e-032	   2.2e-035	         -79.79	         0.0	      151	        493	         323	        570	  0.30629	9.0e-038	       246
   3	MA0333.1 MET31                	4.4e-003	   9.0e-006	         -11.62	         0.0	       48	        492	          78	        423	  0.09756	3.7e-008	       245
   3	MA0334.1 MET32                	3.7e-006	   7.7e-009	         -18.68	         0.0	      114	        494	         268	        805	  0.23077	3.1e-011	       246
   3	MA0338.1 MIG2                 	7.5e0000	   1.6e-002	          -4.16	         0.0	       74	        494	         144	        706	  0.14980	6.4e-005	       246
   3	MA0425.1 YGR067C              	3.9e-002	   8.1e-005	          -9.42	         0.0	      109	        487	         165	        516	  0.22382	3.4e-007	       243
   3	MA0443.1 btd                  	6.0e-005	   1.2e-007	         -15.90	         0.0	       95	        491	         144	        458	  0.19348	5.1e-010	       245
   3	MA0450.1 hkb                  	1.4e-014	   3.0e-017	         -38.05	         0.0	      100	        492	         133	        308	  0.20325	1.2e-019	       245
